"ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS"
161017,"Hydrolagus mirabilis",105826,"Hydrolagus mirabilis"
165406,"Hymenocephalus italicus",158961,"Hymenocephalus italicus "
171681,"Hyperoplus",125911,"Hyperoplus"
171682,"Hyperoplus lanceolatus",126756,"Hyperoplus lanceolatus"
171683,"Hyperoplus immaculatus",126755,"Hyperoplus immaculatus"
167188,"Icelus bicornis",127199,"Icelus bicornis"
82521,"Illex illecebrosus",153087,"Illex illecebrosus"
82523,"Illex coindetii",140621,"Illex coindetii"
170477,"Labridae",125541,"Labridae"
170739,"Labrus mixtus",151501,"Labrus mixtus"
170738,"Labrus bimaculatus",151501,"Labrus mixtus"
170737,"Labrus bergylta",126965,"Labrus bergylta"
159911,"Lamna nasus",105841,"Lamna nasus"
162649,"Lampanyctus crocodilus",126612,"Lampanyctus crocodilus"
162632,"Lampanyctus",125825,"Lampanyctus"
159700,"Lampetra",101167,"Lampetra"
159719,"Lampetra fluviatilis",101172,"Lampetra fluviatilis"
615903,"Lamprididae",125478,"Lampridae "
166326,"Lampris guttatus",126522,"Lampris guttatus"
164478,"Lepadogaster lepadogaster",126518,"Lepadogaster lepadogaster"
164475,"Lepadogaster",125781,"Lepadogaster"
164690,"Lepidion eques",126493,"Lepidion eques"
172391,"Lepidopus caudatus",127088,"Lepidopus caudatus"
172834,"Lepidorhombus boscii",127145,"Lepidorhombus boscii"
172835,"Lepidorhombus whiffiagonis",127146,"Lepidorhombus whiffiagonis"
167478,"Leptagonus decagonus",127191,"Leptagonus decagonus"
171603,"Leptoclinus maculatus",127072,"Leptoclinus maculatus"
172036,"Lesueurigobius friesii",126904,"Lesueurigobius friesii"
172034,"Lesueurigobius",125992,"Lesueurigobius"
163580,"Leuciscus leuciscus",154599,"Leuciscus leuciscus"
564140,"Leucoraja lentiginosa",271564,"Leucoraja lentiginosa"
564128,"Leucoraja circularis",105873,"Leucoraja circularis"
564134,"Leucoraja fullonica",105874,"Leucoraja fullonica"
564143,"Leucoraja naevus",105876,"Leucoraja naevus"
172881,"Limanda limanda",127139,"Limanda limanda"
167578,"Liparis liparis",127219,"Liparis liparis"
167581,"Liparis montagui",127220,"Liparis montagui"
167550,"Liparis",126160,"Liparis"
97943,"Lithodes maja",107205,"Lithodes maja"
182936,"Lithognathus mormyrus",127055,"Lithognathus mormyrus"
170376,"Liza ramada",126980,"Liza ramada"
630328,"Liza ramado",126980,"Liza ramada"
170377,"Liza aurata",126978,"Liza aurata"
82369,"Loliginidae",11734,"Loliginidae"
556692,"Loligo subulata",341892,"Loligo subulata"
82375,"Loligo vulgaris",140271,"Loligo vulgaris"
82370,"Loligo",138139,"Loligo"
82374,"Loligo forbesii",140270,"Loligo forbesi"
164497,"Lophiidae",125493,"Lophiidae"
164502,"Lophius budegassa",126554,"Lophius budegassa"
164501,"Lophius piscatorius",126555,"Lophius piscatorius"
164498,"Lophius",125802,"Lophius"
164725,"Lota lota",154388,"Lota lota"
171588,"Lumpenus lumpretaeformis",154675,"Lumpenus lampretaeformis"
631023,"Lumpenus lampretaeformis",154675,"Lumpenus lampretaeformis"
631033,"Lycenchelys sarsii",127101,"Lycenchelys sarsii"
165243,"Lycenchelys sarsi",127101,"Lycenchelys sarsii"
165284,"Lycodes vahlii",127118,"Lycodes vahlii"
631144,"Lycodes gracilis",274100,"Lycodes gracilis"
165255,"Lycodes",126104,"Lycodes"
567846,"Macoma balthica",141579,"Macoma balthica"
644690,"Macroparalepis affinis",126356,"Macroparalepis affinis"
98744,"Macropipus puber",107398,"Necora puber"
551497,"Macroramphosus scolopax",127378,"Macroramphosus scolopax"
166423,"Macrorhamphosus scolopax",127378,"Macroramphosus scolopax"
165332,"Macrouridae",125471,"Macrouridae"
165421,"Macrourus berglax",126472,"Macrourus berglax"
98573,"Maia squinado",107350,"Maja squinado"
199961,"Maja squinado",107350,"Maja squinado"
165389,"Malacocephalus laevis",272392,"Malacocephalus laevis "
162187,"Maurolicus muelleri",127312,"Maurolicus muelleri"
164744,"Melanogrammus aeglefinus",126437,"Melanogrammus aeglefinus"
