"Roundfish area" "Statistical Rectangle"
"1" 1 "44F0"
"2" 1 "44F1"
"3" 1 "45F0"
"4" 1 "45F1"
"5" 1 "45F2"
"6" 1 "45F3"
"7" 1 "45F4"
"8" 1 "46F0"
"9" 1 "46F1"
"10" 1 "46F2"
"11" 1 "46F3"
"12" 1 "47E8"
"13" 1 "47E9"
"14" 1 "47F0"
"15" 1 "47F1"
"16" 1 "47F2"
"17" 1 "47F3"
"18" 1 "48E7"
"19" 1 "48E8"
"20" 1 "48E9"
"21" 1 "48F0"
"22" 1 "48F1"
"23" 1 "48F2"
"24" 1 "48F3"
"25" 1 "49E8"
"26" 1 "49E9"
"27" 1 "49F0"
"28" 1 "49F1"
"29" 1 "49F2"
"30" 1 "49F3"
"31" 1 "50E8"
"32" 1 "50E9"
"33" 1 "50F0"
"34" 1 "50F1"
"35" 1 "50F2"
"36" 1 "50F3"
"37" 1 "51E8"
"38" 1 "51E9"
"39" 1 "51F0"
"40" 1 "51F1"
"41" 1 "51F2"
"42" 2 "39F1"
"43" 2 "39F2"
"44" 2 "40F0"
"45" 2 "40F1"
"46" 2 "40F2"
"47" 2 "40F3"
"48" 2 "40F4"
"49" 2 "41F0"
"50" 2 "41F1"
"51" 2 "41F2"
"52" 2 "41F3"
"53" 2 "41F4"
"54" 2 "42F0"
"55" 2 "42F1"
"56" 2 "42F2"
"57" 2 "42F3"
"58" 2 "42F4"
"59" 2 "43F0"
"60" 2 "43F1"
"61" 2 "43F2"
"62" 2 "43F3"
"63" 2 "43F4"
"64" 2 "44F2"
"65" 2 "44F3"
"66" 2 "44F4"
"67" 3 "41E7"
"68" 3 "41E8"
"69" 3 "41E9"
"70" 3 "42E7"
"71" 3 "42E8"
"72" 3 "42E9"
"73" 3 "43E8"
"74" 3 "43E9"
"75" 3 "44E6"
"76" 3 "44E7"
"77" 3 "44E8"
"78" 3 "44E9"
"79" 3 "45E6"
"80" 3 "45E7"
"81" 3 "45E8"
"82" 3 "45E9"
"83" 3 "46E6"
"84" 3 "46E7"
"85" 3 "46E8"
"86" 3 "46E9"
"87" 3 "47E6"
"88" 3 "47E7"
"89" 4 "36F0"
"90" 4 "37F0"
"91" 4 "37F1"
"91.5" 4 "37E9"
"92" 4 "38E9"
"93" 4 "38F0"
"94" 4 "38F1"
"95" 4 "39E8"
"96" 4 "39E9"
"97" 4 "39F0"
"98" 4 "40E8"
"99" 4 "40E9"
"100" 5 "31F1"
"101" 5 "32F1"
"102" 5 "33F1"
"103" 5 "33F2"
"104" 5 "34F1"
"105" 5 "34F2"
"106" 5 "35F0"
"107" 5 "35F1"
"108" 5 "35F2"
"109" 5 "36F1"
"110" 5 "36F2"
"111" 6 "31F2"
"112" 6 "32F2"
"113" 6 "32F3"
"114" 6 "33F3"
"115" 6 "33F4"
"116" 6 "34F3"
"117" 6 "34F4"
"118" 6 "35F3"
"119" 6 "35F4"
"120" 6 "36F3"
"121" 6 "36F4"
"122" 6 "36F5"
"123" 6 "36F6"
"124" 6 "36F7"
"125" 6 "37F2"
"126" 6 "37F3"
"127" 6 "37F4"
"128" 6 "37F5"
"129" 6 "37F6"
"130" 6 "37F7"
"131" 6 "37F8"
"132" 6 "38F2"
"133" 6 "38F3"
"134" 6 "38F4"
"135" 6 "38F5"
"136" 6 "38F6"
"137" 6 "38F7"
"138" 6 "38F8"
"139" 6 "39F3"
"140" 6 "39F4"
"141" 6 "39F5"
"142" 6 "39F6"
"143" 6 "39F7"
"144" 6 "39F8"
"145" 7 "40F5"
"146" 7 "40F6"
"147" 7 "40F7"
"148" 7 "41F5"
"149" 7 "41F6"
"150" 7 "41F7"
"151" 7 "42F5"
"152" 7 "42F6"
"153" 7 "42F7"
"154" 7 "43F5"
"155" 7 "43F6"
"156" 7 "43F7"
"157" 7 "44F5"
"158" 8 "43F8"
"159" 8 "44F8"
"160" 8 "44F9"
"161" 8 "44G0"
"162" 8 "44G1"
"163" 8 "45F9"
"164" 8 "45G0"
"165" 8 "45G1"
"166" 8 "46G0"
"166.5" 8 "46G1"
"167" 9 "41G0"
"168" 9 "41G1"
"169" 9 "41G2"
"170" 9 "42G1"
"171" 9 "42G2"
"172" 9 "43G0"
"173" 9 "43G1"
"174" 9 "43G2"
"175" 1 "49E7"
"176" 1 "52F1"
"177" 8 "43F9"
"178" 1 "50E7"
"179" 1 "49E6"
"181" 5 "28F0"
"182" 5 "30F1"
"183" 5 "30F0"
"184" 5 "29F1"
"185" 6 "31F3"
"186" 5 "29F0"
"187" 6 "36F8"
"188" 4 "38E8"
"189" 1 "52E9"
"200" 1 "52F0"
"201" 1 "48E6"

